report_id,report_type,site,activity,barrier_failure,iogp_life_saving_rule,description_raw,description_clean,model_text,risk_level,sif_potential
NM_0661,Near Miss,Refinery unit,Pipe spool welding,Fall arrest missing,Hot Work,"Near-miss observation: while performing Pipe spool welding at Refinery unit, the team found that Fall arrest missing. The situation had imminent potential for fatality and was escalated immediately. The situation had imminent potential for fatality and was escalated immediately.","Near-miss observation: while performing Pipe spool welding at Refinery unit, the team found that Fall arrest missing. The situation had imminent potential for fatality and was escalated immediately. The situation had imminent potential for fatality and was escalated immediately.","[REPORT_TYPE] Near Miss [SITE] Refinery unit [ACTIVITY] Pipe spool welding [BARRIER_FAILURE] Fall arrest missing [IOGP_RULE] Hot Work [TEXT] Near-miss observation: while performing Pipe spool welding at Refinery unit, the team found that Fall arrest missing. The situation had imminent potential for fatality and was escalated immediately. The situation had imminent potential for fatality and was escalated immediately.",Critical,1
NM_0594,Near Miss,Truck loading bay,Pump seal replacement,Emergency response delayed,Work Authorization,A Emergency response delayed was identified during Pump seal replacement at Truck loading bay. The job was halted due to high-risk exposure. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.,A Emergency response delayed was identified during Pump seal replacement at Truck loading bay. The job was halted due to high-risk exposure. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.,[REPORT_TYPE] Near Miss [SITE] Truck loading bay [ACTIVITY] Pump seal replacement [BARRIER_FAILURE] Emergency response delayed [IOGP_RULE] Work Authorization [TEXT] A Emergency response delayed was identified during Pump seal replacement at Truck loading bay. The job was halted due to high-risk exposure. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.,High,1
NM_0753,Near Miss,Field office area,Vessel entry preparation,Emergency access route was partly obstructed by temporary materials,Confined Space,"A Emergency access route was partly obstructed by temporary materials was identified during Vessel entry preparation at Field office area. All personnel were evacuated. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.","A Emergency access route was partly obstructed by temporary materials was identified during Vessel entry preparation at Field office area. All personnel were evacuated. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.","[REPORT_TYPE] Near Miss [SITE] Field office area [ACTIVITY] Vessel entry preparation [BARRIER_FAILURE] Emergency access route was partly obstructed by temporary materials [IOGP_RULE] Confined Space [TEXT] A Emergency access route was partly obstructed by temporary materials was identified during Vessel entry preparation at Field office area. All personnel were evacuated. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.",Critical,1
NM_0301,Near Miss,Compressor station,Confined space entry,Scaffold was altered without inspection tag and toe boards were missing,Confined Space,"Before/during Confined space entry at Compressor station, Scaffold was altered without inspection tag and toe boards were missing. Work was stopped temporarily and resumed after verification. No one was exposed, but the observation required a documented corrective action.","Before/during Confined space entry at Compressor station, Scaffold was altered without inspection tag and toe boards were missing. Work was stopped temporarily and resumed after verification. No one was exposed, but the observation required a documented corrective action.","[REPORT_TYPE] Near Miss [SITE] Compressor station [ACTIVITY] Confined space entry [BARRIER_FAILURE] Scaffold was altered without inspection tag and toe boards were missing [IOGP_RULE] Confined Space [TEXT] Before/during Confined space entry at Compressor station, Scaffold was altered without inspection tag and toe boards were missing. Work was stopped temporarily and resumed after verification. No one was exposed, but the observation required a documented corrective action.",Medium,0
NM_0554,Near Miss,Gas processing unit,Chemical sampling,Lift plan missing,Safe Mechanical Lifting,"Shift crew reported that during Chemical sampling in Gas processing unit, Lift plan missing. The job was halted due to high-risk exposure. Work was halted due to high-risk exposure and corrective measures were implemented.","Shift crew reported that during Chemical sampling in Gas processing unit, Lift plan missing. The job was halted due to high-risk exposure. Work was halted due to high-risk exposure and corrective measures were implemented.","[REPORT_TYPE] Near Miss [SITE] Gas processing unit [ACTIVITY] Chemical sampling [BARRIER_FAILURE] Lift plan missing [IOGP_RULE] Safe Mechanical Lifting [TEXT] Shift crew reported that during Chemical sampling in Gas processing unit, Lift plan missing. The job was halted due to high-risk exposure. Work was halted due to high-risk exposure and corrective measures were implemented.",High,1
NM_0020,Near Miss,Maintenance yard,Drilling operations,Work scope had changed but the permit and job safety analysis were not revalidated,Energy Isolation,"During Drilling operations at Maintenance yard, Work scope had changed but the permit and job safety analysis were not revalidated. Work was paused briefly and the issue was resolved. No work stoppage was required as the risk was minimal.","During Drilling operations at Maintenance yard, Work scope had changed but the permit and job safety analysis were not revalidated. Work was paused briefly and the issue was resolved. No work stoppage was required as the risk was minimal.","[REPORT_TYPE] Near Miss [SITE] Maintenance yard [ACTIVITY] Drilling operations [BARRIER_FAILURE] Work scope had changed but the permit and job safety analysis were not revalidated [IOGP_RULE] Energy Isolation [TEXT] During Drilling operations at Maintenance yard, Work scope had changed but the permit and job safety analysis were not revalidated. Work was paused briefly and the issue was resolved. No work stoppage was required as the risk was minimal.",Low,0
NM_0116,Near Miss,Refinery unit,Hot work (welding/grinding),Communication failure,Hot Work,"Before/during Hot work (welding/grinding) at Refinery unit, Communication failure. No work stoppage was required. The condition was corrected during the routine inspection, with no exposure to hazardous energy.","Before/during Hot work (welding/grinding) at Refinery unit, Communication failure. No work stoppage was required. The condition was corrected during the routine inspection, with no exposure to hazardous energy.","[REPORT_TYPE] Near Miss [SITE] Refinery unit [ACTIVITY] Hot work (welding/grinding) [BARRIER_FAILURE] Communication failure [IOGP_RULE] Hot Work [TEXT] Before/during Hot work (welding/grinding) at Refinery unit, Communication failure. No work stoppage was required. The condition was corrected during the routine inspection, with no exposure to hazardous energy.",Low,0
NM_0052,Near Miss,Gas processing unit,Pump seal replacement,Guard missing,None/Not Applicable,"Shift crew reported that during Pump seal replacement in Gas processing unit, Guard missing. Corrective action was taken on the spot. No work stoppage was required as the risk was minimal.","Shift crew reported that during Pump seal replacement in Gas processing unit, Guard missing. Corrective action was taken on the spot. No work stoppage was required as the risk was minimal.","[REPORT_TYPE] Near Miss [SITE] Gas processing unit [ACTIVITY] Pump seal replacement [BARRIER_FAILURE] Guard missing [IOGP_RULE] None/Not Applicable [TEXT] Shift crew reported that during Pump seal replacement in Gas processing unit, Guard missing. Corrective action was taken on the spot. No work stoppage was required as the risk was minimal.",Low,0
NM_0528,Near Miss,Drilling rig,Pump seal replacement,Equipment defect,Working at Height,"Before/during Pump seal replacement at Drilling rig, Equipment defect. The job was halted due to high-risk exposure. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.","Before/during Pump seal replacement at Drilling rig, Equipment defect. The job was halted due to high-risk exposure. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.","[REPORT_TYPE] Near Miss [SITE] Drilling rig [ACTIVITY] Pump seal replacement [BARRIER_FAILURE] Equipment defect [IOGP_RULE] Working at Height [TEXT] Before/during Pump seal replacement at Drilling rig, Equipment defect. The job was halted due to high-risk exposure. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.",High,1
NM_0177,Near Miss,Gas processing unit,Pressure vessel testing,Gas testing was overdue and no dedicated fire watch was assigned,Confined Space,A Gas testing was overdue and no dedicated fire watch was assigned was identified during Pressure vessel testing at Gas processing unit. Corrective action was taken on the spot. No work stoppage was required as the risk was minimal.,A Gas testing was overdue and no dedicated fire watch was assigned was identified during Pressure vessel testing at Gas processing unit. Corrective action was taken on the spot. No work stoppage was required as the risk was minimal.,[REPORT_TYPE] Near Miss [SITE] Gas processing unit [ACTIVITY] Pressure vessel testing [BARRIER_FAILURE] Gas testing was overdue and no dedicated fire watch was assigned [IOGP_RULE] Confined Space [TEXT] A Gas testing was overdue and no dedicated fire watch was assigned was identified during Pressure vessel testing at Gas processing unit. Corrective action was taken on the spot. No work stoppage was required as the risk was minimal.,Low,0
NM_0468,Near Miss,Field office area,Scaffolding work,Training inadequate,Working at Height,"During routine checks at Field office area, Training inadequate was observed during Scaffolding work. Work was stopped due to potential serious injury risk. The situation had credible potential for serious injury and was escalated immediately.","During routine checks at Field office area, Training inadequate was observed during Scaffolding work. Work was stopped due to potential serious injury risk. The situation had credible potential for serious injury and was escalated immediately.","[REPORT_TYPE] Near Miss [SITE] Field office area [ACTIVITY] Scaffolding work [BARRIER_FAILURE] Training inadequate [IOGP_RULE] Working at Height [TEXT] During routine checks at Field office area, Training inadequate was observed during Scaffolding work. Work was stopped due to potential serious injury risk. The situation had credible potential for serious injury and was escalated immediately.",High,1
NM_0175,Near Miss,Gas processing unit,Pressure vessel testing,Exclusion zone missing,Confined Space,"Shift crew reported that during Pressure vessel testing in Gas processing unit, Exclusion zone missing. No work stoppage was required. The observation was logged and addressed during the same shift.","Shift crew reported that during Pressure vessel testing in Gas processing unit, Exclusion zone missing. No work stoppage was required. The observation was logged and addressed during the same shift.","[REPORT_TYPE] Near Miss [SITE] Gas processing unit [ACTIVITY] Pressure vessel testing [BARRIER_FAILURE] Exclusion zone missing [IOGP_RULE] Confined Space [TEXT] Shift crew reported that during Pressure vessel testing in Gas processing unit, Exclusion zone missing. No work stoppage was required. The observation was logged and addressed during the same shift.",Low,0
NM_0256,Near Miss,Pump station,Pipeline inspection,Trip interlock was found bypassed during a production upset,Bypassing Safety Controls,"During Pipeline inspection at Pump station, Trip interlock was found bypassed during a production upset. Work was paused until the issue was addressed. No one was exposed, but the observation required a documented corrective action.","During Pipeline inspection at Pump station, Trip interlock was found bypassed during a production upset. Work was paused until the issue was addressed. No one was exposed, but the observation required a documented corrective action.","[REPORT_TYPE] Near Miss [SITE] Pump station [ACTIVITY] Pipeline inspection [BARRIER_FAILURE] Trip interlock was found bypassed during a production upset [IOGP_RULE] Bypassing Safety Controls [TEXT] During Pipeline inspection at Pump station, Trip interlock was found bypassed during a production upset. Work was paused until the issue was addressed. No one was exposed, but the observation required a documented corrective action.",Medium,0
NM_0131,Near Miss,Pipeline ROW,Manual handling of tubulars,Pneumatic energy isolation was not locked and residual pressure remained in the line,Energy Isolation,"Near-miss observation: while performing Manual handling of tubulars at Pipeline ROW, the team found that Pneumatic energy isolation was not locked and residual pressure remained in the line. No work stoppage was required. The condition was corrected during the routine inspection, with no exposure to hazardous energy.","Near-miss observation: while performing Manual handling of tubulars at Pipeline ROW, the team found that Pneumatic energy isolation was not locked and residual pressure remained in the line. No work stoppage was required. The condition was corrected during the routine inspection, with no exposure to hazardous energy.","[REPORT_TYPE] Near Miss [SITE] Pipeline ROW [ACTIVITY] Manual handling of tubulars [BARRIER_FAILURE] Pneumatic energy isolation was not locked and residual pressure remained in the line [IOGP_RULE] Energy Isolation [TEXT] Near-miss observation: while performing Manual handling of tubulars at Pipeline ROW, the team found that Pneumatic energy isolation was not locked and residual pressure remained in the line. No work stoppage was required. The condition was corrected during the routine inspection, with no exposure to hazardous energy.",Low,0
NM_0057,Near Miss,Refinery unit,Sampling and testing,PPE not used,None/Not Applicable,"During Sampling and testing at Refinery unit, PPE not used. Work was paused briefly and the issue was resolved. The observation was logged and addressed during the same shift.","During Sampling and testing at Refinery unit, PPE not used. Work was paused briefly and the issue was resolved. The observation was logged and addressed during the same shift.","[REPORT_TYPE] Near Miss [SITE] Refinery unit [ACTIVITY] Sampling and testing [BARRIER_FAILURE] PPE not used [IOGP_RULE] None/Not Applicable [TEXT] During Sampling and testing at Refinery unit, PPE not used. Work was paused briefly and the issue was resolved. The observation was logged and addressed during the same shift.",Low,0
NM_0085,Near Miss,Storage depot,Electrical maintenance,Lift plan missing,Energy Isolation,"Shift crew reported that during Electrical maintenance in Storage depot, Lift plan missing. Corrective action was taken on the spot. The condition was corrected during the routine inspection, with no exposure to hazardous energy.","Shift crew reported that during Electrical maintenance in Storage depot, Lift plan missing. Corrective action was taken on the spot. The condition was corrected during the routine inspection, with no exposure to hazardous energy.","[REPORT_TYPE] Near Miss [SITE] Storage depot [ACTIVITY] Electrical maintenance [BARRIER_FAILURE] Lift plan missing [IOGP_RULE] Energy Isolation [TEXT] Shift crew reported that during Electrical maintenance in Storage depot, Lift plan missing. Corrective action was taken on the spot. The condition was corrected during the routine inspection, with no exposure to hazardous energy.",Low,0
NM_0557,Near Miss,Refinery unit,Pressure vessel testing,Equipment defect,Confined Space,A Equipment defect was identified during Pressure vessel testing at Refinery unit. Work was stopped due to potential serious injury risk. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.,A Equipment defect was identified during Pressure vessel testing at Refinery unit. Work was stopped due to potential serious injury risk. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.,[REPORT_TYPE] Near Miss [SITE] Refinery unit [ACTIVITY] Pressure vessel testing [BARRIER_FAILURE] Equipment defect [IOGP_RULE] Confined Space [TEXT] A Equipment defect was identified during Pressure vessel testing at Refinery unit. Work was stopped due to potential serious injury risk. The failed critical control created credible potential for serious injury; the task was stopped and reported to HSE.,High,1
NM_0253,Near Miss,Compressor station,Vessel entry preparation,Exclusion zone missing,Confined Space,"During Vessel entry preparation at Compressor station, Exclusion zone missing. The activity was delayed pending correction. No one was exposed, but the observation required a documented corrective action.","During Vessel entry preparation at Compressor station, Exclusion zone missing. The activity was delayed pending correction. No one was exposed, but the observation required a documented corrective action.","[REPORT_TYPE] Near Miss [SITE] Compressor station [ACTIVITY] Vessel entry preparation [BARRIER_FAILURE] Exclusion zone missing [IOGP_RULE] Confined Space [TEXT] During Vessel entry preparation at Compressor station, Exclusion zone missing. The activity was delayed pending correction. No one was exposed, but the observation required a documented corrective action.",Medium,0
NM_0184,Near Miss,Pipeline ROW,Equipment maintenance,Fall arrest missing,Working at Height,"Before/during Equipment maintenance at Pipeline ROW, Fall arrest missing. Corrective action was taken on the spot. The issue was minor and was rectified before it affected the task.","Before/during Equipment maintenance at Pipeline ROW, Fall arrest missing. Corrective action was taken on the spot. The issue was minor and was rectified before it affected the task.","[REPORT_TYPE] Near Miss [SITE] Pipeline ROW [ACTIVITY] Equipment maintenance [BARRIER_FAILURE] Fall arrest missing [IOGP_RULE] Working at Height [TEXT] Before/during Equipment maintenance at Pipeline ROW, Fall arrest missing. Corrective action was taken on the spot. The issue was minor and was rectified before it affected the task.",Low,0
NM_0151,Near Miss,Truck loading bay,Sampling and testing,Open edge protection and full-body harness anchorage were unavailable,Working at Height,"Near-miss observation: while performing Sampling and testing at Truck loading bay, the team found that Open edge protection and full-body harness anchorage were unavailable. The team corrected it without delay. The condition was corrected during the routine inspection, with no exposure to hazardous energy.","Near-miss observation: while performing Sampling and testing at Truck loading bay, the team found that Open edge protection and full-body harness anchorage were unavailable. The team corrected it without delay. The condition was corrected during the routine inspection, with no exposure to hazardous energy.","[REPORT_TYPE] Near Miss [SITE] Truck loading bay [ACTIVITY] Sampling and testing [BARRIER_FAILURE] Open edge protection and full-body harness anchorage were unavailable [IOGP_RULE] Working at Height [TEXT] Near-miss observation: while performing Sampling and testing at Truck loading bay, the team found that Open edge protection and full-body harness anchorage were unavailable. The team corrected it without delay. The condition was corrected during the routine inspection, with no exposure to hazardous energy.",Low,0
NM_0075,Near Miss,Wellsite,Process unit startup/shutdown,Guard missing,Work Authorization,"During routine checks at Wellsite, Guard missing was observed during Process unit startup/shutdown. No work stoppage was required. The condition was corrected during the routine inspection, with no exposure to hazardous energy.","During routine checks at Wellsite, Guard missing was observed during Process unit startup/shutdown. No work stoppage was required. The condition was corrected during the routine inspection, with no exposure to hazardous energy.","[REPORT_TYPE] Near Miss [SITE] Wellsite [ACTIVITY] Process unit startup/shutdown [BARRIER_FAILURE] Guard missing [IOGP_RULE] Work Authorization [TEXT] During routine checks at Wellsite, Guard missing was observed during Process unit startup/shutdown. No work stoppage was required. The condition was corrected during the routine inspection, with no exposure to hazardous energy.",Low,0
NM_0746,Near Miss,Field office area,Vehicle movement,Hands were placed near pinch points and no designated signaler was present,Driving,"During Vehicle movement at Field office area, Hands were placed near pinch points and no designated signaler was present. The situation had imminent potential for fatality and was escalated immediately. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.","During Vehicle movement at Field office area, Hands were placed near pinch points and no designated signaler was present. The situation had imminent potential for fatality and was escalated immediately. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.","[REPORT_TYPE] Near Miss [SITE] Field office area [ACTIVITY] Vehicle movement [BARRIER_FAILURE] Hands were placed near pinch points and no designated signaler was present [IOGP_RULE] Driving [TEXT] During Vehicle movement at Field office area, Hands were placed near pinch points and no designated signaler was present. The situation had imminent potential for fatality and was escalated immediately. Multiple critical barriers were ineffective, creating imminent serious-injury or fatality potential.",Critical,1
NM_0360,Near Miss,Field office area,Emergency valve servicing,Spill containment missing,Working at Height,Inspection revealed Spill containment missing during Emergency valve servicing at Field office area. The job proceeded only after corrective measures. Work was temporarily halted pending verification of the control measure.,Inspection revealed Spill containment missing during Emergency valve servicing at Field office area. The job proceeded only after corrective measures. Work was temporarily halted pending verification of the control measure.,[REPORT_TYPE] Near Miss [SITE] Field office area [ACTIVITY] Emergency valve servicing [BARRIER_FAILURE] Spill containment missing [IOGP_RULE] Working at Height [TEXT] Inspection revealed Spill containment missing during Emergency valve servicing at Field office area. The job proceeded only after corrective measures. Work was temporarily halted pending verification of the control measure.,Medium,0
NM_0068,Near Miss,Truck loading bay,Vessel entry preparation,Equipment defect,Confined Space,A Equipment defect was identified during Vessel entry preparation at Truck loading bay. No work stoppage was required. The team recorded the observation and completed immediate housekeeping correction.,A Equipment defect was identified during Vessel entry preparation at Truck loading bay. No work stoppage was required. The team recorded the observation and completed immediate housekeeping correction.,[REPORT_TYPE] Near Miss [SITE] Truck loading bay [ACTIVITY] Vessel entry preparation [BARRIER_FAILURE] Equipment defect [IOGP_RULE] Confined Space [TEXT] A Equipment defect was identified during Vessel entry preparation at Truck loading bay. No work stoppage was required. The team recorded the observation and completed immediate housekeeping correction.,Low,0
NM_0524,Near Miss,Storage depot,Wellhead valve maintenance,Lockout-tagout missing,Energy Isolation,"Near-miss observation: while performing Wellhead valve maintenance at Storage depot, the team found that Lockout-tagout missing. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.","Near-miss observation: while performing Wellhead valve maintenance at Storage depot, the team found that Lockout-tagout missing. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.","[REPORT_TYPE] Near Miss [SITE] Storage depot [ACTIVITY] Wellhead valve maintenance [BARRIER_FAILURE] Lockout-tagout missing [IOGP_RULE] Energy Isolation [TEXT] Near-miss observation: while performing Wellhead valve maintenance at Storage depot, the team found that Lockout-tagout missing. Critical control failure was corrected before resuming work. A supervisor issued a stop-work intervention and required a formal control verification.",High,1
NM_0634,Near Miss,Wellsite,Internal tank inspection,Lift plan missing,Confined Space,"During Internal tank inspection at Wellsite, Lift plan missing. All personnel were evacuated. All personnel were evacuated and the area was secured pending full investigation.","During Internal tank inspection at Wellsite, Lift plan missing. All personnel were evacuated. All personnel were evacuated and the area was secured pending full investigation.","[REPORT_TYPE] Near Miss [SITE] Wellsite [ACTIVITY] Internal tank inspection [BARRIER_FAILURE] Lift plan missing [IOGP_RULE] Confined Space [TEXT] During Internal tank inspection at Wellsite, Lift plan missing. All personnel were evacuated. All personnel were evacuated and the area was secured pending full investigation.",Critical,1
NM_0497,Near Miss,Offshore platform,Lifting and rigging,Isolation not verified,Energy Isolation,"Shift crew reported that during Lifting and rigging in Offshore platform, Isolation not verified. Work was stopped due to potential serious injury risk. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.","Shift crew reported that during Lifting and rigging in Offshore platform, Isolation not verified. Work was stopped due to potential serious injury risk. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.","[REPORT_TYPE] Near Miss [SITE] Offshore platform [ACTIVITY] Lifting and rigging [BARRIER_FAILURE] Isolation not verified [IOGP_RULE] Energy Isolation [TEXT] Shift crew reported that during Lifting and rigging in Offshore platform, Isolation not verified. Work was stopped due to potential serious injury risk. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.",High,1
NM_0410,Near Miss,Truck loading bay,Sampling and testing,Damaged pallet and unstable load were being raised without a spotter,None/Not Applicable,"During Sampling and testing at Truck loading bay, Damaged pallet and unstable load were being raised without a spotter. Critical control failure was corrected before resuming work. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.","During Sampling and testing at Truck loading bay, Damaged pallet and unstable load were being raised without a spotter. Critical control failure was corrected before resuming work. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.","[REPORT_TYPE] Near Miss [SITE] Truck loading bay [ACTIVITY] Sampling and testing [BARRIER_FAILURE] Damaged pallet and unstable load were being raised without a spotter [IOGP_RULE] None/Not Applicable [TEXT] During Sampling and testing at Truck loading bay, Damaged pallet and unstable load were being raised without a spotter. Critical control failure was corrected before resuming work. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.",High,1
NM_0143,Near Miss,Wellsite,Pipe-rack inspection,Isolation not verified,Energy Isolation,"Shift crew reported that during Pipe-rack inspection in Wellsite, Isolation not verified. Work was paused briefly and the issue was resolved. The condition was corrected during the routine inspection, with no exposure to hazardous energy.","Shift crew reported that during Pipe-rack inspection in Wellsite, Isolation not verified. Work was paused briefly and the issue was resolved. The condition was corrected during the routine inspection, with no exposure to hazardous energy.","[REPORT_TYPE] Near Miss [SITE] Wellsite [ACTIVITY] Pipe-rack inspection [BARRIER_FAILURE] Isolation not verified [IOGP_RULE] Energy Isolation [TEXT] Shift crew reported that during Pipe-rack inspection in Wellsite, Isolation not verified. Work was paused briefly and the issue was resolved. The condition was corrected during the routine inspection, with no exposure to hazardous energy.",Low,0
NM_0543,Near Miss,Gas processing unit,Emergency valve servicing,Electrical supply and process pressure isolation were not independently verified,Line of Fire,"During Emergency valve servicing at Gas processing unit, Electrical supply and process pressure isolation were not independently verified. The job was halted due to high-risk exposure. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.","During Emergency valve servicing at Gas processing unit, Electrical supply and process pressure isolation were not independently verified. The job was halted due to high-risk exposure. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.","[REPORT_TYPE] Near Miss [SITE] Gas processing unit [ACTIVITY] Emergency valve servicing [BARRIER_FAILURE] Electrical supply and process pressure isolation were not independently verified [IOGP_RULE] Line of Fire [TEXT] During Emergency valve servicing at Gas processing unit, Electrical supply and process pressure isolation were not independently verified. The job was halted due to high-risk exposure. Personnel were close to hazardous energy exposure, so the area was secured pending investigation.",High,1
NM_0169,Near Miss,Truck loading bay,Pipe-rack inspection,"No pre-entry gas test, attendant, rescue arrangement, or signed entry permit",Confined Space,"Near-miss observation: while performing Pipe-rack inspection at Truck loading bay, the team found that No pre-entry gas test, attendant, rescue arrangement, or signed entry permit. Work was paused briefly and the issue was resolved. The condition was corrected during the routine inspection, with no exposure to hazardous energy.","Near-miss observation: while performing Pipe-rack inspection at Truck loading bay, the team found that No pre-entry gas test, attendant, rescue arrangement, or signed entry permit. Work was paused briefly and the issue was resolved. The condition was corrected during the routine inspection, with no exposure to hazardous energy.","[REPORT_TYPE] Near Miss [SITE] Truck loading bay [ACTIVITY] Pipe-rack inspection [BARRIER_FAILURE] No pre-entry gas test, attendant, rescue arrangement, or signed entry permit [IOGP_RULE] Confined Space [TEXT] Near-miss observation: while performing Pipe-rack inspection at Truck loading bay, the team found that No pre-entry gas test, attendant, rescue arrangement, or signed entry permit. Work was paused briefly and the issue was resolved. The condition was corrected during the routine inspection, with no exposure to hazardous energy.",Low,0
NM_0697,Near Miss,Field office area,Manual handling of tubulars,Damaged pallet and unstable load were being raised without a spotter,Driving,"During routine checks at Field office area, Damaged pallet and unstable load were being raised without a spotter was observed during Manual handling of tubulars. Multiple workers were at risk of serious injury or fatality. All personnel were evacuated and the area was secured pending full investigation.","During routine checks at Field office area, Damaged pallet and unstable load were being raised without a spotter was observed during Manual handling of tubulars. Multiple workers were at risk of serious injury or fatality. All personnel were evacuated and the area was secured pending full investigation.","[REPORT_TYPE] Near Miss [SITE] Field office area [ACTIVITY] Manual handling of tubulars [BARRIER_FAILURE] Damaged pallet and unstable load were being raised without a spotter [IOGP_RULE] Driving [TEXT] During routine checks at Field office area, Damaged pallet and unstable load were being raised without a spotter was observed during Manual handling of tubulars. Multiple workers were at risk of serious injury or fatality. All personnel were evacuated and the area was secured pending full investigation.",Critical,1
NM_0790,Near Miss,Refinery unit,Pump maintenance,Lift plan missing,Safe Mechanical Lifting,"Inspection revealed Lift plan missing during Pump maintenance at Refinery unit. All personnel were evacuated. The condition presented immediate potentially fatal exposure; operations were stopped, the area was isolated, and emergency escalation began.","Inspection revealed Lift plan missing during Pump maintenance at Refinery unit. All personnel were evacuated. The condition presented immediate potentially fatal exposure; operations were stopped, the area was isolated, and emergency escalation began.","[REPORT_TYPE] Near Miss [SITE] Refinery unit [ACTIVITY] Pump maintenance [BARRIER_FAILURE] Lift plan missing [IOGP_RULE] Safe Mechanical Lifting [TEXT] Inspection revealed Lift plan missing during Pump maintenance at Refinery unit. All personnel were evacuated. The condition presented immediate potentially fatal exposure; operations were stopped, the area was isolated, and emergency escalation began.",Critical,1
NM_0682,Near Miss,LPG bottling plant,LPG bottling operations,Emergency access route was partly obstructed by temporary materials,None/Not Applicable,"During LPG bottling operations at LPG bottling plant, Emergency access route was partly obstructed by temporary materials. Work was stopped urgently and emergency response was initiated. All personnel were evacuated and the area was secured pending full investigation.","During LPG bottling operations at LPG bottling plant, Emergency access route was partly obstructed by temporary materials. Work was stopped urgently and emergency response was initiated. All personnel were evacuated and the area was secured pending full investigation.","[REPORT_TYPE] Near Miss [SITE] LPG bottling plant [ACTIVITY] LPG bottling operations [BARRIER_FAILURE] Emergency access route was partly obstructed by temporary materials [IOGP_RULE] None/Not Applicable [TEXT] During LPG bottling operations at LPG bottling plant, Emergency access route was partly obstructed by temporary materials. Work was stopped urgently and emergency response was initiated. All personnel were evacuated and the area was secured pending full investigation.",Critical,1
NM_0335,Near Miss,Tank farm,Breaking a pressurised flange,Driver fatigue screening and journey-management check were incomplete,Driving,"Before/during Breaking a pressurised flange at Tank farm, Driver fatigue screening and journey-management check were incomplete. The job proceeded only after corrective measures. The task was paused, the control was restored, and the supervisor verified readiness before work resumed.","Before/during Breaking a pressurised flange at Tank farm, Driver fatigue screening and journey-management check were incomplete. The job proceeded only after corrective measures. The task was paused, the control was restored, and the supervisor verified readiness before work resumed.","[REPORT_TYPE] Near Miss [SITE] Tank farm [ACTIVITY] Breaking a pressurised flange [BARRIER_FAILURE] Driver fatigue screening and journey-management check were incomplete [IOGP_RULE] Driving [TEXT] Before/during Breaking a pressurised flange at Tank farm, Driver fatigue screening and journey-management check were incomplete. The job proceeded only after corrective measures. The task was paused, the control was restored, and the supervisor verified readiness before work resumed.",Medium,0
NM_0617,Near Miss,LPG bottling plant,Crude transfer vehicle movement,Pneumatic energy isolation was not locked and residual pressure remained in the line,Energy Isolation,"During Crude transfer vehicle movement at LPG bottling plant, Pneumatic energy isolation was not locked and residual pressure remained in the line. Work was stopped urgently and emergency response was initiated. The condition presented immediate potentially fatal exposure; operations were stopped, the area was isolated, and emergency escalation began.","During Crude transfer vehicle movement at LPG bottling plant, Pneumatic energy isolation was not locked and residual pressure remained in the line. Work was stopped urgently and emergency response was initiated. The condition presented immediate potentially fatal exposure; operations were stopped, the area was isolated, and emergency escalation began.","[REPORT_TYPE] Near Miss [SITE] LPG bottling plant [ACTIVITY] Crude transfer vehicle movement [BARRIER_FAILURE] Pneumatic energy isolation was not locked and residual pressure remained in the line [IOGP_RULE] Energy Isolation [TEXT] During Crude transfer vehicle movement at LPG bottling plant, Pneumatic energy isolation was not locked and residual pressure remained in the line. Work was stopped urgently and emergency response was initiated. The condition presented immediate potentially fatal exposure; operations were stopped, the area was isolated, and emergency escalation began.",Critical,1
